date,total_views_14d,unique_visitors_14d,last_updated
2025-10-08,1159,6,2025-10-08 23:36:03 UTC
2025-10-09,1223,7,2025-10-09 16:06:32 UTC
2025-10-10,1409,14,2025-10-10 08:19:29 UTC
2025-10-11,1488,22,2025-10-11 08:16:59 UTC
2025-10-12,1499,22,2025-10-12 08:17:03 UTC
2025-10-13,1502,24,2025-10-13 08:21:34 UTC
2025-10-14,1560,26,2025-10-14 08:18:34 UTC
2025-10-15,1571,31,2025-10-15 08:20:46 UTC
2025-10-16,1577,34,2025-10-16 08:21:13 UTC
2025-10-17,1586,39,2025-10-17 08:20:26 UTC
2025-10-18,1834,45,2025-10-18 08:17:29 UTC
